"","Location_skey","ChargePoint_skey","def_ampere"
"1044",861,3051,16
"1045",862,2330,20
"1046",863,3759,16
"1047",864,5185,16
"1048",865,2484,16
"1049",866,2870,20
"1050",867,4450,16
"1051",867,6158,16
"1052",868,6125,16
"1053",869,1747,16
"1054",870,2411,16
"1055",871,3262,16
"1056",871,4173,20
"1057",872,288,16
"1058",873,617,16
"1059",873,892,16
"1060",874,2706,16
"1061",875,3623,16
"1062",876,2474,16
"1063",876,2475,16
"1064",877,3069,16
"1065",878,64,16
"1066",879,3838,16
"1067",880,4069,20
"1068",881,3074,16
"1069",882,777,16
"1070",882,781,16
"1071",882,5746,16
"1072",883,2463,16
"1073",884,550,16
"1074",884,1146,16
"1075",885,3000,16
"1076",886,29,16
"1077",887,2378,16
"1078",887,2379,16
"1079",888,3940,16
"1080",889,3324,20
"1081",890,2867,16
"1082",891,5067,16
"1083",892,2723,20
"1084",893,361,16
"1085",894,511,16
"1086",894,1053,16
"1087",895,1313,16
"1088",895,6307,16
"1089",896,4722,16
"1090",897,3406,20
"1091",898,4054,16
"1092",899,2637,16
"1093",900,1864,16
"1094",901,757,16
"1095",901,893,16
"1096",902,188,16
"1097",903,2925,16
"1098",904,2868,16
"1099",905,582,16
"1100",905,824,16
"1101",907,5218,32
"1102",908,2537,16
"1103",909,4083,16
"1104",910,3812,20
"1105",911,1560,16
"1106",912,3769,20
"1107",914,3182,16
"1108",916,5254,16
"1109",917,4634,16
"1110",918,3739,16
"1111",919,2284,16
"1112",920,3889,16
"1113",921,3755,16
"1114",922,2059,16
"1115",923,717,16
"1116",923,6289,16
"1117",924,4694,16
"1118",924,4695,16
"1119",925,5070,16
"1120",926,409,16
"1121",927,3302,16
"1122",928,2663,16
"1123",928,14178,16
"1124",929,1717,16
"1125",930,2595,16
"1126",931,4750,16
"1127",932,3390,20
"1128",933,1592,16
"1129",934,2901,16
"1130",935,4555,16
"1131",936,4456,16
"1132",936,6099,13
"1133",938,672,16
"1134",938,890,16
"1135",940,2230,16
"1136",941,3270,20
"1137",942,298,16
"1138",943,3770,16
"1139",944,4621,16
